model,action_safety,content_recall,det_score,quality,med_tokens,complete,log_tok
qwen3:8b,1.0,0.73,0.72004,3.51,176.5,0.99,5.178970608915471
sailor2:1b,0.8666666666666667,0.45,0.47664,1.22,308.0,0.99,5.733341276897746
smallthinker:3b-preview-q4_K_M,0.7333333333333333,0.6766666666666667,0.6300399999999999,2.47,511.0,1.0,6.238324625039508
smollm2:1.7b,1.0,0.4666666666666666,0.56012,1.835,123.0,1.0,4.820281565605037
smollm2:1.7b-instruct-q8_0,1.0,0.4666666666666666,0.56012,1.85,123.0,1.0,4.820281565605037
smollm2:135m,1.0,0.4066666666666666,0.5233599999999999,1.095,208.5,1.0,5.344723739362192
smollm2:135m-instruct-q8_0,0.8,0.38666666666666666,0.46340000000000003,1.095,172.0,1.0,5.153291594497779
smollm2:360m,1.0,0.48,0.56004,1.345,116.5,1.0,4.7664383335842135
smollm2:360m-instruct-q8_0,0.8,0.35666666666666663,0.47664,1.265,92.5,1.0,4.537961436294641
smollm:1.7b,0.9333333333333333,0.5333333333333333,0.56676,1.215,391.5,1.0,5.972536537222463
smollm:360m,1.0,0.44,0.57004,1.065,485.5,1.0,6.1872369016260595
stablelm2:1.6b,0.8,0.5266666666666666,0.5834,1.385,303.0,1.0,5.717027701406222
stablelm2:1.6b-chat,0.8,0.5266666666666666,0.5834,1.38,303.0,1.0,5.717027701406222
stablelm2:1.6b-zephyr,0.8666666666666667,0.4633333333333334,0.48336,1.415,222.0,1.0,5.407171771460119
starcoder2:3b,0.8666666666666667,0.37,0.44996,1.02,500.0,0.99,6.2166061010848646
starcoder2:3b-q6_K,0.8,0.36,0.45660000000000006,1.105,500.0,1.0,6.2166061010848646
starcoder2:3b-q8_0,0.8,0.36666666666666664,0.46336,1.055,400.0,0.98,5.993961427306569
tinyllama:1.1b,1.0,0.42,0.4902,1.285,245.0,1.0,5.5053315359323625
tinyllama:1.1b-chat-v1-q8_0,1.0,0.49,0.5534,1.41,286.0,1.0,5.659482215759621
yi-coder:1.5b,1.0,0.5433333333333333,0.60336,1.58,315.5,1.0,5.757323241584231
