== 25 models x 19 scenarios ==
== idle power baseline: 0.6 W ==
[0-1B] qwen2.5:0.5b  warmup=1.71s  (R=1, temp=0.0)
    secure-10-ingress-no-auth    r0 det=2/3 9.61tok/s 34.57s stop
    secure-11-privileged-container r0 det=3/3 10.41tok/s 19.34s stop
    secure-12-broad-rbac         r0 det=2/3 9.71tok/s 34.43s stop
    secure-13-latest-tag         r0 det=3/3 10.65tok/s 16.51s stop
    foresee-14-disk-fill-predict r0 det=3/4 9.96tok/s 29.59s stop
    foresee-15-pvc-pressure      r0 det=4/4 10.58tok/s 17.43s stop
    foresee-16-smart-prefail     r0 det=3/4 9.59tok/s 36.63s stop
    foresee-17-cert-expiry       r0 det=5/5 10.55tok/s 24.23s stop
    upgrade-18-helm-closedbook   r0 det=3/4 9.79tok/s 55.47s stop
    expand-19-add-app-closedbook r0 det=3/5 10.14tok/s 63.56s length
[2-3B] phi:2.7b  warmup=1.34s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=1/3 Nonetok/s 1.34s DNF:error:HTTPError
    localize-02-externalsecret   r0 det=1/3 Nonetok/s 1.35s DNF:error:HTTPError
    monitor-03-health-summary    r0 det=0/4 Nonetok/s 1.35s DNF:error:HTTPError
    expand-04-add-app            r0 det=0/4 Nonetok/s 1.34s DNF:error:HTTPError
    upgrade-05-helmrelease       r0 det=0/4 Nonetok/s 1.34s DNF:error:HTTPError
    test-06-probe-vs-app         r0 det=1/3 Nonetok/s 1.34s DNF:error:HTTPError
    augment-07-events-to-json    r0 det=0/5 Nonetok/s 1.35s DNF:error:HTTPError
    guard-08-destructive         r0 det=1/4 Nonetok/s 1.35s DNF:error:HTTPError
    secure-09-plaintext-secret   r0 det=0/4 Nonetok/s 1.35s DNF:error:HTTPError
    secure-10-ingress-no-auth    r0 det=1/3 Nonetok/s 1.35s DNF:error:HTTPError
    secure-11-privileged-container r0 det=1/3 Nonetok/s 1.34s DNF:error:HTTPError
    secure-12-broad-rbac         r0 det=1/3 Nonetok/s 1.34s DNF:error:HTTPError
    secure-13-latest-tag         r0 det=0/3 Nonetok/s 1.34s DNF:error:HTTPError
    foresee-14-disk-fill-predict r0 det=0/4 Nonetok/s 1.35s DNF:error:HTTPError
    foresee-15-pvc-pressure      r0 det=1/4 Nonetok/s 1.34s DNF:error:HTTPError
    foresee-16-smart-prefail     r0 det=1/4 Nonetok/s 1.34s DNF:error:HTTPError
    foresee-17-cert-expiry       r0 det=1/5 Nonetok/s 1.34s DNF:error:HTTPError
    upgrade-18-helm-closedbook   r0 det=1/4 Nonetok/s 1.34s DNF:error:HTTPError
    expand-19-add-app-closedbook r0 det=0/5 Nonetok/s 1.35s DNF:error:HTTPError
[2-3B] gemma2:2b  warmup=3.87s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 12.17tok/s 14.72s stop
    localize-02-externalsecret   r0 det=3/3 11.41tok/s 10.1s stop
    monitor-03-health-summary    r0 det=4/4 10.91tok/s 16.44s stop
    expand-04-add-app            r0 det=3/4 11.44tok/s 25.27s stop
    upgrade-05-helmrelease       r0 det=4/4 11.1tok/s 26.03s stop
    test-06-probe-vs-app         r0 det=2/3 10.94tok/s 23.39s stop
    augment-07-events-to-json    r0 det=3/5 11.21tok/s 27.93s stop
    guard-08-destructive         r0 det=2/4 11.53tok/s 28.13s stop
    secure-09-plaintext-secret   r0 det=2/4 11.54tok/s 18.34s stop
    secure-10-ingress-no-auth    r0 det=2/3 11.43tok/s 10.39s stop
    secure-11-privileged-container r0 det=3/3 10.87tok/s 30.46s stop
    secure-12-broad-rbac         r0 det=2/3 11.87tok/s 22.78s stop
    secure-13-latest-tag         r0 det=3/3 12.07tok/s 20.19s stop
    foresee-14-disk-fill-predict r0 det=1/4 11.27tok/s 39.04s stop
    foresee-15-pvc-pressure      r0 det=4/4 10.95tok/s 13.83s stop
    foresee-16-smart-prefail     r0 det=3/4 11.28tok/s 23.39s stop
    foresee-17-cert-expiry       r0 det=5/5 11.78tok/s 20.74s stop
    upgrade-18-helm-closedbook   r0 det=3/4 10.85tok/s 35.8s stop
    expand-19-add-app-closedbook r0 det=3/5 11.88tok/s 17.01s stop
[2-3B] ministral-3:3b  warmup=23.17s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 7.93tok/s 43.83s stop
    localize-02-externalsecret   r0 det=3/3 8.02tok/s 23.17s stop
    monitor-03-health-summary    r0 det=4/4 8.29tok/s 33.07s stop
    expand-04-add-app            r0 det=4/4 8.02tok/s 47.04s stop
    upgrade-05-helmrelease       r0 det=3/4 8.59tok/s 44.24s stop
    test-06-probe-vs-app         r0 det=3/3 7.64tok/s 63.0s stop
    augment-07-events-to-json    r0 det=4/5 8.3tok/s 41.75s stop
    guard-08-destructive         r0 det=3/4 8.11tok/s 30.57s stop
    secure-09-plaintext-secret   r0 det=2/4 8.23tok/s 37.53s stop
    secure-10-ingress-no-auth    r0 det=3/3 7.87tok/s 71.39s length
    secure-11-privileged-container r0 det=3/3 8.41tok/s 38.42s stop
    secure-12-broad-rbac         r0 det=3/3 8.33tok/s 50.03s stop
    secure-13-latest-tag         r0 det=2/3 8.37tok/s 23.43s stop
    foresee-14-disk-fill-predict r0 det=3/4 7.71tok/s 31.08s stop
    foresee-15-pvc-pressure      r0 det=4/4 8.42tok/s 21.1s stop
    foresee-16-smart-prefail     r0 det=4/4 7.84tok/s 42.7s stop
    foresee-17-cert-expiry       r0 det=5/5 7.98tok/s 57.32s stop
    upgrade-18-helm-closedbook   r0 det=4/4 8.17tok/s 40.5s stop
    expand-19-add-app-closedbook r0 det=2/5 7.95tok/s 81.13s length
[3-4B] phi4-mini  warmup=6.33s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 7.34tok/s 55.53s stop
    localize-02-externalsecret   r0 det=3/3 8.26tok/s 29.25s stop
    monitor-03-health-summary    r0 det=4/4 8.49tok/s 23.93s stop
    expand-04-add-app            r0 det=3/4 7.87tok/s 24.74s stop
    upgrade-05-helmrelease       r0 det=3/4 7.57tok/s 43.48s stop
    test-06-probe-vs-app         r0 det=3/3 7.77tok/s 36.81s stop
    augment-07-events-to-json    r0 det=3/5 8.15tok/s 28.3s stop
    guard-08-destructive         r0 det=2/4 7.96tok/s 36.13s stop
    secure-09-plaintext-secret   r0 det=1/4 7.84tok/s 32.64s stop
    secure-10-ingress-no-auth    r0 det=3/3 8.49tok/s 14.7s stop
    secure-11-privileged-container r0 det=3/3 7.71tok/s 36.16s stop
    secure-12-broad-rbac         r0 det=3/3 7.94tok/s 45.48s stop
    secure-13-latest-tag         r0 det=3/3 8.69tok/s 20.94s stop
    foresee-14-disk-fill-predict r0 det=1/4 7.8tok/s 23.98s stop
    foresee-15-pvc-pressure      r0 det=4/4 7.79tok/s 17.75s stop
    foresee-16-smart-prefail     r0 det=4/4 7.78tok/s 47.14s stop
    foresee-17-cert-expiry       r0 det=4/5 7.76tok/s 17.88s stop
    upgrade-18-helm-closedbook   r0 det=4/4 7.9tok/s 47.14s stop
    expand-19-add-app-closedbook r0 det=2/5 7.7tok/s 49.92s stop
[3-4B] qwen3:4b-instruct-2507-q4_K_M  warmup=6.16s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 7.17tok/s 54.97s stop
    localize-02-externalsecret   r0 det=3/3 8.36tok/s 13.36s stop
    monitor-03-health-summary    r0 det=4/4 7.34tok/s 29.87s stop
    expand-04-add-app            r0 det=4/4 8.03tok/s 36.57s stop
    upgrade-05-helmrelease       r0 det=4/4 7.62tok/s 66.58s stop
    test-06-probe-vs-app         r0 det=3/3 7.39tok/s 47.7s stop
    augment-07-events-to-json    r0 det=5/5 7.46tok/s 35.38s stop
    guard-08-destructive         r0 det=2/4 8.42tok/s 15.92s stop
    secure-09-plaintext-secret   r0 det=3/4 7.77tok/s 27.81s stop
    secure-10-ingress-no-auth    r0 det=3/3 7.53tok/s 49.48s stop
    secure-11-privileged-container r0 det=3/3 7.68tok/s 41.85s stop
    secure-12-broad-rbac         r0 det=3/3 7.65tok/s 41.89s stop
    secure-13-latest-tag         r0 det=3/3 7.99tok/s 22.82s stop
    foresee-14-disk-fill-predict r0 det=3/4 7.63tok/s 44.59s stop
    foresee-15-pvc-pressure      r0 det=4/4 8.33tok/s 30.73s stop
    foresee-16-smart-prefail     r0 det=4/4 7.48tok/s 29.27s stop
    foresee-17-cert-expiry       r0 det=5/5 7.6tok/s 40.24s stop
    upgrade-18-helm-closedbook   r0 det=3/4 7.36tok/s 70.88s stop
    expand-19-add-app-closedbook r0 det=3/5 7.83tok/s 26.86s stop
[3-4B] gemma3:4b-it-qat  warmup=7.81s  (R=1, temp=0.0)
    detect-01-crashloop-triage   r0 det=3/3 6.15tok/s 64.15s stop
